oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by,px_width,px_height,display_ratio,gb_rom,gb_ram
Google,Pixel 4 XL,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,2019,"Available. Released 2019, October 22",160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193,Nano-SIM card & eSIM,OLED,6.3,HDR  Always-on display  90Hz refresh rate,NO,,,Stereo,,No,Dual,"5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Clearly White, Just Black, Oh So Orange",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps",Android 10,Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,,"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",599.0,"Dual-LED flash, Auto-HDR, panorama",IP68 dust/water resistant (up to 1.5m for 30 mins),"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Corning Gorilla Glass 5,UFS 2.1,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS  16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0<c2><b5>m, PDAF, OIS, 2x optical zoom","8 MP, f/2.0, 22mm (wide), 1.22<c2><b5>m, no AF  TOF 3D, (depth/biometrics sensor)",Auto-HDR,1080p@30fps,YES,Fast charging 18W  USB Power Delivery 2.0  QI wireless charging,"G020P, G020, GA01181-US, GA01182-US, GA01180-US","AnTuTu: 323305 (v7), 403267 (v8) GeekBench: 10171 (v4.4), 2267 (v5.1) GFXBench: 21fps (ES 3.1 onscreen)",Photo / Video,Voice 80dB / Noise 78dB / Ring 88dB,Noise -93.9 / Crosstalk -94.1,Endurance rating 73h,,,,,,,,,,,,,Non-removable Li-Po 3700 mAh battery,,,,,,,,CDMA 800 / 1900,,,1440.0,3040.0,19:9,64.0,6.0
Google,Pixel 4,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,2019,"Available. Released 2019, October 22",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162,Nano-SIM card & eSIM,OLED,5.7,HDR  Always-on display  90Hz refresh rate,NO,,,Stereo,,No,Dual,"5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO",No,"3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Clearly White, Just Black, Oh So Orange",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps",Android 10,Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,,"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",524.52,"Dual-LED flash, Auto-HDR, panorama",IP68 dust/water resistant (up to 1.5m for 30 mins),"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Corning Gorilla Glass 5,UFS 2.1,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS  16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0<c2><b5>m, PDAF, OIS, 2x optical zoom","8 MP, f/2.0, 22mm (wide), 1.22<c2><b5>m, no AF  TOF 3D, (depth/biometrics sensor)",Auto-HDR,1080p@30fps,YES,Fast charging 18W  USB Power Delivery 2.0  QI wireless charging,"G020M, G020I, GA01188-US, GA01187-US, GA01189-US, GA01191-US, GA01189-US",AnTuTu: 395351 (v8) GeekBench: 2542 (v5.1) GFXBench: 31fps (ES 3.1 onscreen),Photo / Video,Voice 79dB / Noise 71dB / Ring 83dB,Noise -71.5dB / Crosstalk -69.8dB,Endurance rating 62h,Contrast ratio: Infinite (nominal),,,,,,,,,,,,Non-removable Li-Po 2800 mAh battery,,,,,,,,CDMA 800 / 1900,,,1080.0,2280.0,19:9,64.0,6.0
Google,Pixel 3a XL,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,2019,"Available. Released 2019, May 15",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167,"Nano-SIM, eSIM",OLED,6.0,Always-on display,NO,,,Stereo,,Yes,Dual,"5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Just Black, Clearly White, Purple-ish",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","Android 9.0 (Pie), upgradable to Android 10",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS","4K@30fps, 1080p@30/60/120fps",329.0,"Dual-LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71","Glass front (Asahi Dragontrail), plastic back, plastic frame",Asahi Dragontrail Glass,eMMC 5.1,,,HDR,1080p@30fps,YES,Fast charging 18W  USB Power Delivery 2.0,"G020C, G020G, G020F","AnTuTu: 159110 (v7), 176612 (v8) GeekBench: 5176 (v4.4), 1307 (v5.1) GFXBench: 11fps (ES 3.1 onscreen)",,Voice 79dB / Noise 77dB / Ring 91dB,Noise -90.8dB / Crosstalk -94.8dB,Endurance rating 98h,Contrast ratio: infinite,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12<c2><b5>m",,,,,,,,,,,Non-removable Li-Po 3700 mAh battery,,,,,,,,CDMA 800 / 1900,,,1080.0,2160.0,18:9,64.0,4.0
Google,Pixel 3a,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,,,2019,"Available. Released 2019, May 15",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147,Nano-SIM,OLED,5.6,Always-on display,NO,,,Stereo,,Yes,Dual,"5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Just Black, Clearly White, Purple-ish",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","Android 9.0 (Pie), upgradable to Android 10",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS","4K@30fps, 1080p@30/60/120fps",304.0,"Dual-LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66, 71","Glass front (Asahi Dragontrail), plastic back, plastic frame",Asahi Dragontrail Glass,eMMC 5.1,,,HDR,1080p@30fps,YES,Fast charging 18W  USB Power Delivery 2.0,"G020A, G020E, G020B",,,,,,,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12<c2><b5>m",,,,,,,,,,,Non-removable Li-Po 3000 mAh battery,,,,,,,,CDMA 800 / 1900,,,1080.0,2220.0,5:9,64.0,4.0
Honor,8S 2020,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,2020,"Available. Released 2020, May 27",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LCD,5.71,,YES,,,Mono,,Yes,Mono,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Unspecified,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Navy Blue, Midnight Black, Green",HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","Android 9.0 (Pie), EMUI 9, Google Play Services",Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,"13 MP, f/1.8, PDAF",1080p@30fps,110.0,"LED flash, HDR, panorama",,LTE,"Glass front, plastic back, plastic frame",,eMMC 5.1,,,,,NO,,,,,,,,,"5 MP, f/2.2",,,,,,,,,,,Non-removable Li-Po 3020 mAh battery,,,,,,,,,,,720.0,1520.0,19:9,64.0,3.0
Honor,Play4,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, June 13",170 x 78.5 x 8.9 mm (6.69 x 3.09 x 0.35 in),213,"Dual SIM (Nano-SIM, dual stand-by)",LCD,6.81,,YES,,,Mono,,Yes,Dual,"5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Black, Blue, Light Blue",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Android 10, Magic UI 3.1, no Google Play Services",MediaTek MT6873 Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,,"4K@30fps, 1080p@30fps, gyro-EIS",250.0,"Dual-LED flash, HDR, panorama",IP5X,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 34, 38, 39, 40, 41",,,,,,,1080p@30fps,NO,"Fast charging 22.5W, 70% in 30 min (advertised)",TNNH-AN00,,,,,,,16 MP,,"1, 38, 41, 77, 78, 79 SA/NSA","64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8<c2><b5>m, PDAF  8 MP, f/2.2, (ultrawide)  2 MP, f/2.4, (macro)  2 MP, f/2.4, (depth)",,,,,,,,Non-removable Li-Po 4300 mAh battery,,,,,,,,CDMA 800 & TD-SCDMA,,,1080.0,2400.0,20:9,128.0,8.0
Honor,Play4 Pro,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, June 10",162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213,"Dual SIM (Nano-SIM, dual stand-by)",LCD,6.57,,NO,,,Mono,,No,Dual,"5.1, A2DP, LE","Yes, with A-GPS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Black, Blue, Light Blue",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Android 10, Magic UI 3.1, no Google Play Services",Kirin 990 (7 nm),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,,"4K@30/60fps, 1080p@30fps, 1080p@960fps, OIS, gyro-EIS",360.0,"LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41",,,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF  8 MP, f/2.4, 80mm (telephoto), PDAF, Laser AF, OIS, 3x optical zoom","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8<c2><b5>m  8 MP, (ultrawide)",Panorama,"4K@30fps, 1080p@30fps, gyro-EIS",YES,"Fast charging 40W, 70% in 30 min (advertised)  Reverse charging",OXP-AN00,,,,,,,,,"1, 3, 41, 77, 78, 79 SA/NSA",,,,,,,,,Non-removable Li-Po 4200 mAh battery,,,,,,,,CDMA 800 & TD-SCDMA,,,1080.0,2400.0,20:9,128.0,8.0
Honor,X10 5G,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, May 26",163.7 x 76.5 x 8.8 mm (6.44 x 3.01 x 0.35 in),203,"Dual SIM (Nano-SIM, dual stand-by)",LCD,6.63,90Hz refresh rate,YES,,,Mono,,Yes,Dual,"5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Blue, Orange, Black, Silver",HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat12 600/50 Mbps, 5G 2.3 Gbps DL","Android 10, Magic UI 3.1, no Google Play Services",Kirin 820 5G (7nm),Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G57 (6-core),,"4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS",318.99,"LED flash, panorama, HDR",,"1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41",Glass front (Aluminosilicate glass),Aluminosilicate glass,,,,HDR,1080p@30fps,NO,Fast charging 22.5W  Reverse charging,TEL-TN00,,,,,,,"Motorized pop-up 16 MP, f/2.2, 24mm (wide), 1/3"", 1.0<c2><b5>m",,"1, 3, 38, 41, 77, 78, 79, 80, 84 SA/NSA",,"40 MP, f/1.8, 26mm (wide), 1/1.7"", PDAF  8 MP, f/2.4, 17mm, 120<cb><9a> (ultrawide)  2 MP, f/2.4, (depth)",,,,,,,Non-removable Li-Po 4300 mAh battery,,,,,,,,CDMA 800 & TD-SCDMA,,,1080.0,2400.0,20:9,64.0,6.0
Honor,9A,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,2020,"Available. Released 2020, May 04",159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185,"Dual SIM (Nano-SIM, dual stand-by)",LCD,6.3,,YES,,,Mono,,Yes,Mono,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio; built-in antenna,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity",,,,,,,,"Black, Blue, Green",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps","Android 10, Magic UI 3.1, no Google Play Services",Mediatek MT6762R Helio P22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,,1080p@30fps,140.0,"LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41","Glass front, plastic back, plastic frame",,eMMC 5.1,,,HDR,1080p@30fps,NO,,MOA-LX9N,,,,,,,"8 MP, f/2.0, (wide)",,,,"13 MP, f/1.8, (wide), PDAF  5 MP, f/2.2, (ultrawide)  2 MP, f/2.4, (depth)",,,,,,,Non-removable Li-Po 5000 mAh battery,,,,,,,,,,,720.0,1600.0,20:9,64.0,3.0
Honor,9C,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, May 04",159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176,"Dual SIM (Nano-SIM, dual stand-by)",LCD,6.39,,YES,,,Mono,,Yes,Mono,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Black, Blue",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A","Android 10, EMUI 10.1, no Google Play Services",Kirin 710A (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,,1080p@30fps,160.0,"LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41",,,,,,HDR,1080p@30fps,NO,,AKA-L29,,,,,,,"8 MP, f/2.0, (wide)",,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8<c2><b5>m, PDAF  8 MP, f/2.4, 120<cb><9a> (ultrawide)  2 MP, f/2.4, (depth)",,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,,720.0,1560.0,5:9,64.0,4.0
Honor,9S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, May 04",146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in),144,"Dual SIM (Nano-SIM, dual stand-by)",LCD,5.45,,YES,,,Mono,,Yes,Mono,"5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Black, Blue, Red",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE","Android 10, Magic UI 3.1, no Google Play Services",Mediatek MT6762R Helio P22 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,"8 MP, f/2.0, (wide), AF",1080p@30fps,90.0,"LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,,,,,,1080p@30fps,NO,,DUA-LX9,,,,,,,"5 MP, f/2.2",,,,,,,,,,,Non-removable Li-Po 3020 mAh battery,,,,,,,,,,,720.0,1440.0,18:9,32.0,2.0
Honor,9X Lite,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, May 14",160.4 x 76.6 x 7.8 mm (6.31 x 3.02 x 0.31 in),188,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LCD,6.5,,YES,,,Mono,,Yes,Dual,"4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Emerald Green, Midnight Black",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 9.0 (Pie), EMUI 9.1",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,,1080p@30fps,179.99,"LED flash, HDR, panorama",,"1, 3, 7, 8, 20",,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8<c2><b5>m, PDAF  2 MP, f/2.4, (depth)",,,1080p@30fps,YES,Charging 10W,"JSN-L21, JSN-L22, JSN-L23",,,,,,,"8 MP, f/2.0, (wide)",,,,,,,,,,,Non-removable Li-Po 3750 mAh battery,,,,,,,,,,,1080.0,2340.0,5:9,128.0,4.0
Honor,30 Pro+,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),190,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",OLED,6.57,90Hz refresh rate,YES,,,Stereo,,No,Dual,"5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",No,"3.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,,,,"Titanium silver, Emerald Green, Midnight Black",HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Android 10, Magic UI 3, no Google Play Services",Kirin 990 5G (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,,"4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS",745.99,"LED flash, panorama, HDR",Water-repellent coating,"1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Glass front, glass back, aluminum frame",,UFS,,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8<c2><b5>m  8 MP, f/2.2, (ultrawide)",HDR,"4K, 1080p; gyro-EIS",YES,Fast charging 40W  Fast wireless charging 27W  Reverse charging 5W,EBG-AN10,,,,,,,,Yes,"1, 3, 41, 77, 78, 79 SA/NSA","50 MP, f/1.9, 23mm (wide), 1/1.28"", 2.44<c2><b5>m, omnidirectional PDAF, Laser AF, OIS  8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom  16 MP, f/2.2, 18mm (ultrawide),<c2><a0>AF  2 MP, (depth)",,,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,,1080.0,2340.0,5:9,256.0,8.0
Honor,30 Pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, April 21",160.3 x 73.6 x 8.4 mm (6.31 x 2.90 x 0.33 in),186,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",OLED,6.57,,YES,,,Stereo,,No,Dual,"5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",No,"3.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,,,,"Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple",HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Android 10, Magic UI 3, no Google Play Services",Kirin 990 5G (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,,"4K@30/60fps, 1080p@30/60fps, 1080p@1920fps; gyro-EIS",582.99,"LED flash, panorama, HDR",IP54 splash proof,"1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Glass front, glass back, aluminum frame",,UFS,,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8<c2><b5>m  8 MP, f/2.2, (ultrawide)",HDR,"4K, 1080p; gyro-EIS",YES,Fast charging 40W  Reverse charging 5W,EBG-AN00,,,,,,,,Yes,"1, 3, 41, 77, 78, 79 SA/NSA","40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF, OIS  8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom  16 MP, f/2.2, 18mm (ultrawide)  2 MP, (depth)",,,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,,1080.0,2340.0,5:9,128.0,8.0
Honor,30,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,2020,"Available. Released 2020, April 21",160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in),185,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",OLED,6.53,,YES,,,Mono,,No,Dual,"5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,,,,,,,"Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple",HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","Android 10, Magic UI 3, no Google Play Services",Kirin 985 5G (7 nm),Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),Mali-G77,,"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS",415.99,"LED flash, panorama, HDR",,"1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41",,,UFS,,,HDR,"4K, 1080p; gyro-EIS",YES,Fast charging 40W  Reverse charging 5W,BMH-AN10,,,,,,,"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8<c2><b5>m",,"1, 3, 41, 77, 78, 79 SA/NSA","40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF  8 MP, f/3.4, 125mm (Periscope telephoto), PDAF, OIS, 5x optical zoom  8 MP, f/2.4, 17mm (ultrawide)  2 MP, (depth)",,,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,,,1080.0,2400.0,20:9,128.0,6.0
Honor,20e,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only),,,2020,"Available. Released 2020, April 27",154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LCD,6.21,,YES,,,Mono,,Yes,Mono,"4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Midnight Black, Phantom Blue",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 9.0 (Pie), EMUI 9.1, no Google Play Services",Kirin 710F (12 nm),Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,,1080p@30/60fps,180.0,"LED flash, HDR, panorama",,"1, 3, 5, 7, 8, 20","Glass front, plastic back, plastic frame",,eMMC 5.1,,,HDR,1080p@30fps,YES,Charging 10W,,,,,,,,"8 MP, f/2.0, (wide)",,,,"24 MP, f/1.8, PDAF  8 MP, f/2.4, 17mm (ultrawide)  2 MP, f/2.4, (depth)",,,,,,,Non-removable Li-Po 3400 mAh battery,,,,,,,,,,,1080.0,2340.0,5:9,64.0,4.0
